"Model","Accuracy","Precision","Recall","F1_Score"
"GBM",0.894736842105263,0.909340659340659,0.973529411764706,0.940340909090909
"XGBoost",0.907268170426065,0.926760563380282,0.967647058823529,0.946762589928058
"Random Forest",0.917293233082707,0.770833333333333,0.627118644067797,0.691588785046729
